jzsj,bsqcb,ljqzzs,hbsr,jzrq,qtsssr,bdmjz
24时,,351,-,2月7日,-,
12时,,339,-,2月7日,-,
24时,,334,-,2月6日,-,
12时,,316,-,2月6日,-,
24时,,314,-,2月5日,-,
12时,,291,-,2月5日,-,
24时,,289,-,2月4日,-,
12时,,271,-,2月4日,-,
24时,,269,-,2月3日,-,
12时,,245,-,2月3日,-,
24时,,226,-,2月2日,-,
12时,,207,-,2月2日,-,
24时,3,196,165,2月1日,6,22
12时,1,170,144,2月1日,5,20
24时,1,170,144,1月31日,5,20
12时,1,134,114,1月31日,3,16
24时,0,110,99,1月30日,2,9
12时,0,98,90,1月30日,2,6
24时,0,86,83,1月29日,0,3
12时,0,80,77,1月29日,0,3
24时,0,63,60,1月28日,0,3
12时,0,57,54,1月28日,0,3
24时,0,49,48,1月27日,0,1
24时,0,36,36,1月26日,0,0
24时,0,27,27,1月25日,0,0
24时,0,20,20,1月24日,0,0
24时,0,15,15,1月23日,0,0
24时,0,15,15,1月22日,0,0
24时,0,14,14,1月21日,0,0
,0,9,9,1月20日,0,0
,0,1,1,1月19日,0,0
